Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,MCC,TNR,FPR,FP_Cost_GBP,Train_F1,Overfit_Gap,Overfit_Label,Member
MLP (Tuned),0.92,0.9353,0.9393,0.9373,0.9772,0.8268,0.8862,0.1138,2604000,0.9349,-0.0024,good fit,Vino
XGBoost (Tuned),0.916,0.9313,0.9372,0.9342,0.9774,0.818,0.8789,0.1211,2772000,0.9825,0.0482,good fit,Joel
Random Forest (Tuned),0.912,0.9291,0.933,0.931,0.976,0.8095,0.8752,0.1248,2856000,0.9703,0.0393,good fit,Gokulkrishna
LR+Poly (Tuned),0.9087,0.9199,0.9382,0.929,0.9721,0.8014,0.8569,0.1431,3276000,0.9396,0.0107,good fit,Afzal
SVM RBF (Tuned),0.9107,0.9536,0.9037,0.928,0.9739,0.8127,0.9229,0.0771,1764000,0.9256,-0.0024,good fit,Apprajit
